"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"W4tler Eisbär";"flachs neu";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000967622"
"G10 Twiga";"rose";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798455"
"GN Kletter";"weiche Sohle treetop";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001358801"
"ViaVia";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308370"
"GGG Pony";"Olive";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001299494"
"Black Panther";"monks robe";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001327821"
"Phönix";"schwarz";"H";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000648071"
"Tramper Flex";"denim";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001217993"
"G10 Twiga";"rose";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000798783"
"Rückenwind";"taglillie";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460047"
"Lucy in the Sky Damen";"taglillie";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001458488"
"G10 Twiga";"smoke";"1";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"106,00 €";"2000001456736"
"Rückenwind";"flachs neu";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964324"
"W4tler Eisbär";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000896472"
"GN Kletter";"weiche Sohle schlehe";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001355565"
"Phönix mit Vario-Fußbett";"schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000034577"
"Jaga Flex";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163277"
"Kommod Flex";"jaques dunkelbraun";"H";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000043937"
"G10 Chui";"flachs neu";"1";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000901190"
"GN Schnürer";"weiche Sohle violett";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001299777"
"Ansa";"timber";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001195314"
"Jaga Flex";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163932"
"Phönix mit Vario-Fußbett";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000037875"
"GGG Art S2m";"flachs neu";"1";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923840"
"G10 Twiga";"rose";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798516"
"Rückenwind";"orange chili";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460276"
"Jaga Flex";"jaques dunkelbraun";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163215"
"Frau Wohle";"Schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001193266"
"GGG Pony";"Olive";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"96,00 €";"2000001299517"
"Kommod Flex";"wa-bluu";"G";"48";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"69,50 €";"2000001225608"
"Sommertramper";"schoko";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068755"
"Lady JaJa";"mocha";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"88,50 €";"2000001356739"
"Ansa";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148624"
"Black Panther";"hellgrau";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001454640"
"Jaga Flex";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001141366"
"GGG Little Trampa";"Olive";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001210208"
"Herr Sommer";"monks robe";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343722"
"GGG Art S2m";"flachs neu";"1";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923826"
"Polarstern ";"schoko";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000958538"
"Tramper Flex";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000112039"
"ViaVia";"mocca";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001277751"
"Ansa";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178119"
"Romy";"mais";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001278727"
"Kommod Classic";"Schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207674"
"Frau Wohle";"weinrot";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001195062"
"Jaga Flex";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895451"
"GN Kletter";"weiche Sohle flachs new";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320662"
"Frau Wohle";"weinrot";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001195079"
"Romy";"mais";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001278710"
"GN Winterschuh";"flachs neu";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907192"
"Phönix";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631158"
"G10 Chui";"josta";"1";"33";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001223246"
"Eight days a week Herren";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001190838"
"Sommersperber";"schoko";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001074848"
"Sommertramper";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896335"
"W4tler Eisbär";"orange";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001321478"
"Kommod Classic";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000204017"
"Bronca";"pepper";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001184646"
"Rosa Lux";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000911939"
"GN Winterstiefel";"shadow/timber";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001210888"
"Frau Sommer";"sesam";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343593"
"GN Schnürer";"kimber";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141700"
"Rückenwind";"Olive";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001301944"
"Kommod Flex";"flachs neu";"F";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000909714"
"Rückenwind";"nougat";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001302071"
"GGG Little Trampa";"berry";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210116"
"Phönix";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000632230"
"GGG Art S2m";"flachs neu";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923819"
"Klox";"josta";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001065914"
"G10 Chui";"flachs neu";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000901978"
"Ansa";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178034"
"Südpol";"mocha";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001357255"
"G10 Twiga";"classic blue";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001267301"
"Lerche";"braun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001301494"
"Alles Klar";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213605"
"G10 Wingu 35-40";"violett";"1";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001299357"
"Rückenwind";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964317"
"G10 Nie mehr kalt";"braun";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001305270"
"Wirbelwind";"nougat";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304310"
"GN Winterstiefel";"flachs neu";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000907574"
"Mustang";"Schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160053"
"Lerche";"agave";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000984018"
"Tramper Flex";"jaques schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960081"
"Jaga Flex";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895444"
"Jaga Flex";"jaques dunkelbraun";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000162973"
"Phönix";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631271"
"ViaVia";"weinrot";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197769"
"ViaVia";"weinrot";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197646"
"GGG Art S2m";"flachs neu";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923765"
"Madame Wunder";"schwarz uni";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000691152"
"Phönix";"jaques dunkelbraun";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"178,00 €";"2000000631639"
"GGG Art 9";"flachs neu";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000000906898"
"Rückenwind";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964409"
"Eight days a week Herren";"flachs neu";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001190852"
"GGG Art 10";"denim";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103890"
"Südpol";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000589930"
"GGG Art 8";"flachs neu";"1";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,00 €";"2000000906034"
"VIA Andante";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176412"
"GN Schnürer";"weiche Sohle flachs new";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"69,00 €";"2000001320792"
"Südpol";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000914152"
"Polarstern ";"walnuss";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000998435"
"Phönix";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647173"
"GGG Art S1";"türkis";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001457054"
"Rückenwind";"nougat";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001302057"
"Klox";"flachs neu";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909233"
