"Artikel";"Variante";"Leiste";"Grˆﬂe";"Qualit‰t";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Groﬂhandelspreis";"EAN"
"Wilderer";"green";"G";"44";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"116,00 Ä";"2000001304020"
"Air Line";"kiwi";"F";"36";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001240403"
"Frau Sommer";"sesam";"F";"40";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"52,00 Ä";"2000001343562"
"Alles Klar";"weinrot";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000001213773"
"G10 Ronja";"stone";"1";"29";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001203040"
"Kommod Flex";"schwarz";"F";"41";"QS";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"69,50 Ä";"2000000041391"
"Tramper Flex";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000000095653"
"Ansa";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001148600"
"Wirbelwind";"nougat";"G";"41";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"85,00 Ä";"2000001304389"
"R¸ckenwind";"timber";"G";"46";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"80,00 Ä";"2000001194829"
"VIA Andante";"mocha";"F";"38";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"98,00 Ä";"2000001357569"
"Sommersperber";"schoko";"G";"45";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"75,00 Ä";"2000001074824"
"Ronny";"nougat";"1";"32";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"30,00 Ä";"2000001205051"
"GGG Little Trampa";"Olive";"1";"28";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"2";"Paar";"78,00 Ä";"2000001210215"
"GN Winterstiefel";"shadow/timber";"0";"25";"Q1";"";"Schuh/Schuh";"Berlin Stargarder Straﬂe";"1";"Paar";"39,00 Ä";"2000001210864"
